Time,AAPL,ABBV,ABT,ADBE,AMD,AMGN,AMZN,AVGO,BAC,CAN,CAT,CMCSA,COP,COST,CRM,CSCO,CVX,DHR,DIS,FB,GOOGL,HD,INTC,INTU,JNJ,JPM,KO,LIN,LLY,MA,MCD,META,MRK,MSFT,NFLX,NVDA,ORCL,PEP,PFE,PG,PM,TMO,TSLA,TXN,UNH,V,VZ,WFC,WMT,XOM
2/28/18,0.068132624,0.032168954,-0.029440154,0.046906288,-0.118631732,-0.004991938,0.04242913,-0.006329879,0.003125,0,-0.050067576,-0.148600988,-0.071458151,-0.017814515,0.020542534,0.077997111,-0.09825346,-0.034557662,-0.050703966,-0.045855851,-0.066231328,-0.092732703,0.030728262,-0.006194163,-0.054156806,-0.001469698,-0.091826014,0,-0.047484015,0.04,-0.072396868,0,-0.084894515,-0.008486579,0.077987421,-0.014849849,-0.017832913,-0.087863674,-0.010658759,-0.090572157,-0.034318754,-0.069296328,-0.031751856,-0.012036108,-0.044851761,-0.008684428,-0.117070464,-0.106753852,-0.155628518,-0.123601448
3/29/18,-0.058050752,-0.182854183,-0.006795956,0.033232917,-0.170107349,-0.072318659,-0.043049357,-0.037059271,-0.06217071,0,-0.046886115,-0.056338028,0.09169582,-0.012938711,0.000430108,-0.042206342,0.018942102,0.002989407,-0.026366809,-0.103914311,-0.060493514,-0.016469858,0.056603774,0.038894882,-0.013319988,-0.047878788,0.013810322,0,0.004544274,-0.003413746,-0.008621783,0,0.013410356,-0.026660979,0.01362482,-0.043016529,-0.097098875,0.002120375,-0.02258331,0.009679063,-0.029569663,-0.009375658,-0.224246487,-0.041162898,-0.050609346,-0.027005043,0.001675744,-0.102722137,-0.005708141,-0.014919461
4/30/18,-0.015019669,0.030704341,-0.025255868,0.025546094,0.082587065,0.023463163,0.082074703,-0.026437513,-0.002334111,0,-0.015505819,-0.076143037,0.104739416,0.046330202,0.040326741,0.0409128,0.097071203,0.024614442,-0.001095181,0.076412792,-0.017895366,0.036804309,-0.008832565,0.068447976,-0.01295357,-0.005869934,-0.005065623,0,0.047822153,0.01925454,0.070725157,0,0.08077841,0.024652131,0.057931268,-0.028887258,0.002370101,-0.07521759,0.031558185,-0.078806448,-0.175050302,0.018841422,0.104347499,-0.023678891,0.104672897,0.060692192,0.0449719,-0.008586148,-0.005732269,0.042085511
5/31/18,0.13514064,0.024754013,0.058489592,0.124909747,0.261948529,0.037277639,0.040539419,0.098727225,-0.02540107,0,0.052299806,-0.006690029,0.033077653,0.008410107,0.068931317,-0.035673967,0.002121007,-0.010366826,-0.008571713,0.115,0.079934811,0.015027203,0.075431135,0.090968126,-0.047305772,-0.016271373,-0.004859986,0,0.056238388,0.066472205,-0.044374104,0,0.011211143,0.06145537,0.125264034,0.122022311,0.022991023,0.002352883,-0.009051192,0.011473597,-0.03,-0.009888281,-0.031201089,0.109856636,0.021615905,0.031929988,-0.034042553,0.046931082,-0.061055203,0.055428893
6/29/18,-0.009418312,-0.063573883,-0.008776207,-0.021943196,0.091769847,0.027669525,0.043065254,-0.030954861,-0.029269972,0,-0.106905405,0.052277101,0.033090963,0.054176755,0.054666357,0.007492391,0.017135961,-0.004430929,0.053684528,0.013244342,0.026536364,0.045832217,-0.099456522,0.013417659,0.014378866,-0.026259228,0.02912804,0,0.00341016,0.03366295,-0.014534555,0,0.027604474,-0.002326993,0.113282139,-0.060628891,-0.056934932,0.085985037,0.009741163,0.066830668,0.029648205,-0.004644871,0.204474414,-0.014833348,0.019430213,0.013234394,0.055380743,0.026856825,0.037678701,0.018340719
7/31/18,0.027983361,0.005462084,0.079398197,0.003568352,0.22281521,0.064792242,0.045675962,-0.086012199,0.095423909,0,0.066462871,0.096767762,0.040847358,0.046559479,0.005498534,-0.009576889,-0.001265522,0.039521686,0.092170475,-0.111877316,0.086814442,0.012403895,-0.03238785,0.001558688,0.092137795,0.109123152,0.063155495,0,0.157974921,0.008793484,0.005424724,0,0.085172982,0.075752966,-0.137904606,0.033600675,0.086403582,0.056305686,0.100606395,0.045564766,0.068863017,0.13222941,-0.130660446,0.015349587,0.032118692,0.032389581,0.0383714,0.033369408,0.041798015,-0.014746767
8/31/18,0.200434616,0.040659222,0.019835215,0.076957659,0.373158756,0.023417172,0.132364524,-0.012355143,0.001619171,0,-0.034422809,0.033817775,0.017458778,0.068564215,0.113233686,0.129581461,-0.052921397,0.009358549,-0.013561113,0.018252405,0.003732012,0.021645163,0.012987648,0.074569134,0.023154737,-0.003218791,-0.044177568,0,0.075094891,0.088686869,0.036181287,0,0.041293457,0.063048817,0.089583642,0.146905087,0.018875839,-0.026,0.048736171,0.025593472,-0.097450753,0.01948578,0.011806534,0.009701761,0.06018482,0.075832359,0.052865995,0.028282324,0.080578482,-0.006284583
9/28/18,-0.008302948,-0.014586372,0.097546379,0.0244393,0.227254668,0.037435564,-0.004824341,0.134689765,-0.042895522,0,0.098235506,-0.042714247,0.054065096,0.007506541,0.041590254,0.018421604,0.032247172,0.051001641,0.043920728,-0.064132476,-0.020068193,0.031777656,-0.023539129,0.036132501,0.025837107,-0.015185896,0.045166334,0,0.015712257,0.032705511,0.031190285,0,0.04135566,0.018160776,0.017542428,0.001211344,0.061342116,0.006281653,0.061416185,0.003375527,0.061795528,0.021545275,-0.122289995,-0.045462633,-0.005706805,0.021785009,-0.018024646,-0.10123119,-0.020342166,0.060496445
10/31/18,-0.030477541,-0.168174222,-0.056455494,-0.089609187,-0.410488831,-0.069950311,-0.202191712,-0.094192032,-0.066530889,0,-0.199196596,0.082829314,-0.093168414,-0.026609332,-0.137018173,-0.053195051,-0.086931632,-0.085219952,-0.018043441,-0.07704001,-0.096513901,-0.150953415,-0.008669909,-0.070143252,0.013172179,-0.027147965,0.036588006,0,0.010530239,-0.110993557,0.057445155,0,0.03763744,-0.06610125,-0.19338198,-0.2497687,-0.048934533,0.005187835,-0.022918085,0.075004665,0.080083395,-0.042731891,0.274011406,-0.127610447,-0.017628928,-0.081551069,0.081017208,0.012747336,0.067830902,-0.062808751
11/30/18,-0.181187635,0.210918433,0.074122425,0.020874023,0.169686985,0.087599829,0.057671729,0.062284666,0.032727273,0,0.118282229,0.022810697,-0.053218884,0.014006393,0.04022151,0.046338798,0.075495367,0.102012072,0.005747627,-0.073654391,0.017486108,0.031196138,0.058512785,0.016729858,0.056041185,0.019904605,0.061013088,-0.038798574,0.099665543,0.017200384,0.072187677,0,0.077842684,0.042748269,-0.05185897,-0.22403751,-0.001638002,0.085068518,0.081942727,0.065741994,-0.017486091,0.068050503,0.0390134,0.075622105,0.080007653,0.029813354,0.05622701,0.027974064,-0.026226566,0.007857788
